										
권리사 지역	권리사	권리사 유형	유통사분류	유통사	아티스트분류	아티스트	 음원명 	 곡수 	 2022년 	 2023년 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	방탄소년단	 달려라 방탄 	 1 	 1 	
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	RM	 들꽃놀이 (with 조유진) 	 1 	 1 	
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	방탄소년단	 봄날 	 1 	 1 	 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	Agust D (슈가)	 사람 Pt.2 (feat. 아이유) 	 1 		 1 
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	방탄소년단	 작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey) 	 1 	 1 	
 국내 	BIGHIT MUSIC	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	Agust D (슈가)	 해금 	 1 		 1 
 국내 	 BORN 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 스탠딩 에그(Standing Egg) 	 오래된 노래 	 1 	 1 	
 국내 	 C9엔터테인먼트 	 권리사 단독 	CJ ENM(지니뮤직)	CJ ENM(지니뮤직)	非아이돌	 이석훈, 윤하, CIX (씨아이엑스), cignature (시그니처), EPEX (이펙스) 	 메리 메리 크리스마스 	 1 	 1 	
 국내 	 C9엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 윤하 	 바람 	 1 		 1 
 국내 	 C9엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 윤하 	 사건의 지평선 	 1 	 1 	 1 
 국내 	 C9엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 윤하 	 오르트구름 	 1 	 1 	 1 
 국내 	 Chorokbaem E&M 	 권리사 단독 	 기타 	 2%엔터테인먼트 	 非아이돌 	 이찬원 	 풍등 	 1 		 1 
 국내 	 Daytona Entertainment 	 권리사 단독 	CJ ENM(지니뮤직)	CJ ENM(지니뮤직)	非아이돌	 TOIL 	 검정색하트 (Feat. leellamarz, BE′O) 	 1 	 1 	
 국내 	 Daytona Entertainment 	 권리사 단독 	CJ ENM(지니뮤직)	CJ ENM(지니뮤직)	非아이돌	 TOIL 	 다시 걸을 때 (Feat. 헤이즈, BIG Naughty) 	 1 	 1 	
 국내 	 DSP미디어 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 아이돌 	 카라 (KARA) 	 STEP 	 1 	 1 	 1 
 국내 	 EDAM엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 Celebrity 	 1 	 1 	 1 
 국내 	 EDAM엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 strawberry moon 	 1 	 1 	 1 
 국내 	 EDAM엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 겨울잠 	 1 	 1 	
 국내 	 EDAM엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 너 	 1 	 1 	
 국내 	 EDAM엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 드라마 	 1 	 1 	 1 
 국내 	 EDAM엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 라일락 	 1 	 1 	 1 
 국내 	 EDAM엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 러브레터 	 1 	 1 	
 국내 	 EDAM엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 마음을 드려요 	 1 	 1 	
 국내 	 EDAM엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 아이와 나의 바다 	 1 	 1 	
 국내 	 EDAM엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 어푸 (Ah puh) 	 1 	 1 	
 국내 	 EDAM엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 에잇 (Prod.&Feat. SUGA of BTS) 	 1 	 1 	 1 
 국내 	 EDAM엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 아이유 (IU) 	 정거장 	 1 	 1 	
 국내 	 EGO Group 	 권리사 단독 	 NHN벅스 	 NHN벅스 	 非아이돌 	 그리즐리 (Grizzly) 	 Beige coat 	 1 	 1 	
 국내 	 Feel Ghood Music 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 비비(BIBI) 	 나쁜X 	 1 	 1 	
 국내 	 GLG 	 권리사 단독 	 해외직배사 	 Sony Music 	 아이돌 	 H1-KEY 	 건물 사이에 피어난 장미 (Rose Blossom) 	 1 		 1 
 국내 	 H1GHR MUSIC 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 BIG Naughty (서동현) 	 Vancouver 	 1 	 1 	 1 
 국내 	 H1GHR MUSIC 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 BIG Naughty (서동현) 	 낭만교향곡 (Feat. CHANGMO, 박재범) 	 1 	 1 	 1 
 국내 	 H1GHR MUSIC 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 BIG Naughty (서동현) 	 사랑이라 믿었던 것들은 (Feat. 이수현) 	 1 		 1 
 국내 	 H1GHR MUSIC 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 BIG Naughty (서동현) 	 정이라고 하자 (Feat. 10CM) 	 1 	 1 	 1 
 국내 	 H1GHR MUSIC 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 BIG Naughty (서동현) 	 친구로 지내다 보면 (Feat. 김민석 of 멜로망스) 	 1 		 1 
 국내 	 How엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 황인욱 	 강변북로 	 1 	 1 	
 국내 	 How엔터테인먼트 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 황인욱 	 이 새벽에 전화하는 건 	 1 		 1 
 국내 	 IN A MILLION 	 권리사 단독 	 해외직배사 	 Warner Music 	 非아이돌 	 주호 	 그 하루 (Feat. 반하나) 	 1 	 1 	
 국내 	 IN A MILLION 	 권리사 단독 	 해외직배사 	 Warner Music 	 非아이돌 	 주호 	 내가 아니라도 	 1 	 1 	 1 
 국내 	 IWS 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 MC몽, 소유 (SOYOU) 	 깨우지 마 	 1 	 1 	
 국내 	 JTBC스튜디오 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 김기태 	 너무 아픈 사랑은 사랑이 아니었음을 	 1 	 1 	
 국내 	 JTBC스튜디오 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 김기태 	 제발 	 1 	 1 	
 국내 	 JTBC스튜디오 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 김기태 	 한숨 	 1 	 1 	
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 TWICE 	 Alcohol-Free 	 1 	 1 	
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 Stray Kids (스트레이 키즈) 	 CASE 143 	 1 	 1 	
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 ITZY (있지) 	 Cheshire 	 1 	 1 	 1 
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 TWICE 	 Dance The Night Away 	 1 	 1 	
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 NMIXX 	 DICE 	 1 	 1 	 1 
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 ITZY (있지) 	 LOCO 	 1 	 1 	
 국내 	 JYP Entertainment 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 NMIXX 	 Love Me Like This 	 1 		 1 
