일자	년도	곡수	순위	곡코드	곡명	아티스트명	앨범명	발매일	발매년도	앨범소장르	앨범대장르	유통사	기획사
2024-01-01	2024년	1	48	99635005	건물 사이에 피어난 장미	H1-KEY (하이키)	H1-KEY 1st Mini Album (Rose Blossom)	2023-01-05	이전 발매	전체	가요	소니뮤직엔터테인먼트코리아(주)(국내)	GLG
2024-01-01	2024년	1	49	97582506	Attention	NewJeans	NewJeans 1st EP 'New Jeans'	2022-08-01	이전 발매	댄스	가요	(주)와이지플러스	ADOR
2024-01-01	2024년	1	50	94535712	사랑은 늘 도망가	임영웅	신사와 아가씨 OST Part.2	2021-10-11	이전 발매	드라마	OST	주식회사 벅스(BUGS Corporation)	모스트콘텐츠
2024-01-01	2024년	1	51	100080644	그대가 내 안에 박혔다 (그내박)	순순희 (기태)	그대가 내 안에 박혔다 (그내박)	2023-01-23	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	비에스(BS), (주)제나두엔터테인먼트
2024-01-01	2024년	1	52	103804148	Off The Record	IVE (아이브)	I'VE MINE	2023-10-13	이전 발매	R&B/소울	가요	주식회사 카카오엔터테인먼트	스타쉽 엔터테인먼트
2024-01-01	2024년	1	53	103952831	Discord	QWER	1st Single Album 'Harmony from Discord'	2023-10-18	이전 발매	락	가요	주식회사 카카오엔터테인먼트	타마고 프로덕션
2024-01-01	2024년	1	54	98026161	숲	최유리	유영	2022-08-24	이전 발매	인디	가요	주식회사 벅스(BUGS Corporation)	쇼파르엔터테인먼트
2024-01-01	2024년	1	55	96951358	해요 (2022)	#안녕	해요 (2022)	2022-06-07	이전 발매	발라드	가요	(주)지니뮤직	일팔 프로젝트
2024-01-01	2024년	1	56	16151403	희재	성시경	국화꽃 향기 OST	2003-02-12	이전 발매	전체	OST	(주)씨에스해피엔터테인먼트	씨에스해피엔터테인먼트
2024-01-01	2024년	1	57	103364221	I Love My Body	화사 (HWASA)	I Love My Body	2023-09-06	이전 발매	댄스	가요	(주)비타민엔터테인먼트(국내)	피네이션
2024-01-01	2024년	1	58	100345896	파이팅 해야지 (Feat. 이영지)	부석순 (SEVENTEEN)	부석순 1st Single Album 'SECOND WIND'	2023-02-06	이전 발매	댄스	가요	(주)와이지플러스	플레디스 엔터테인먼트
2024-01-01	2024년	1	59	87840106	모든 날, 모든 순간 (Every day, Every Moment)	폴킴	'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)	2018-03-20	이전 발매	드라마	OST	주식회사 카카오엔터테인먼트	SM ENTERTAINMENT
2024-01-01	2024년	1	60	101132628	꽃	지수 (JISOO)	ME	2023-03-31	이전 발매	댄스	가요	(주)와이지플러스	YG Entertainment
2024-01-01	2024년	1	61	101545644	UNFORGIVEN (Feat. Nile Rodgers)	LE SSERAFIM (르세라핌)	UNFORGIVEN	2023-05-01	이전 발매	댄스	가요	(주)와이지플러스	쏘스뮤직
2024-01-01	2024년	1	62	93717294	Stay	The Kid LAROI & Justin Bieber	Stay	2021-07-09	이전 발매	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Columbia
2024-01-01	2024년	1	63	103055328	Bubble	STAYC (스테이씨)	TEENFRESH	2023-08-16	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	HIGHUP ENTERTAINMENT
2024-01-01	2024년	1	64	103151854	Get A Guitar	RIIZE	Get A Guitar	2023-09-04	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	SM ENTERTAINMENT
2024-01-01	2024년	1	65	96507978	That's Hilarious	Charlie Puth	CHARLIE	2022-10-07	이전 발매	팝	POP	워너뮤직코리아(주)(해외)	Atlantic Records
2024-01-01	2024년	1	66	98612518	Underwater	권은비	Lethality	2022-10-12	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	울림엔터테인먼트
2024-01-01	2024년	1	67	102244178	Steal The Show	Lauv	엘리멘탈 (Original Motion Picture Soundtrack)	2023-06-16	이전 발매	전체	OST	(주)유니버설뮤직(해외)	Walt Disney Records
2024-01-01	2024년	1	68	97095129	Summer (Feat. BE'O (비오))	Paul Blanco	Summer	2022-06-15	이전 발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통대행)	Ambition Musik
2024-01-01	2024년	1	69	98315344	Monologue	테이 (Tei)	Monologue	2022-09-18	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	방구석 캐스팅
2024-01-01	2024년	1	70	97404330	그때 그 순간 그대로 (그그그)	WSG워너비 (가야G)	WSG워너비 1집	2022-07-09	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	문화방송
2024-01-01	2024년	1	71	96613134	나의 X에게	경서	나의 X에게	2022-04-24	이전 발매	인디	가요	주식회사 카카오엔터테인먼트	꿈의 엔진
2024-01-01	2024년	1	72	98661235	ANTIFRAGILE	LE SSERAFIM (르세라핌)	ANTIFRAGILE	2022-10-17	이전 발매	댄스	가요	(주)와이지플러스	쏘스뮤직
2024-01-01	2024년	1	73	101479700	손오공	세븐틴 (SEVENTEEN)	SEVENTEEN 10th Mini Album 'FML'	2023-04-24	이전 발매	랩/힙합	가요	(주)와이지플러스	플레디스 엔터테인먼트
2024-01-01	2024년	1	74	105031806	1조	이찬혁	1조	2024-01-01	2024년	락	가요	(주)와이지플러스	YG Entertainment
2024-01-01	2024년	1	75	82146674	All I Want for Christmas Is You	Mariah Carey	Merry Christmas (Deluxe Anniversary Edition)	2019-11-01	이전 발매	캐롤	그외장르	소니뮤직엔터테인먼트코리아(주)(해외)	Columbia, Legacy
2024-01-01	2024년	1	76	102141355	나에게 그대만이	탑현	나에게 그대만이	2023-06-11	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	레이벡스
2024-01-01	2024년	1	77	103122543	달빛에 그려지는	미연 ((여자)아이들)	연인 OST Part.4	2023-08-20	이전 발매	드라마	OST	주식회사 벅스(BUGS Corporation)	(주)도너츠컬처
2024-01-01	2024년	1	78	104570853	그대가 있는 곳, 언제 어디든	로이킴	로이킴 X 마이데몬	2023-12-01	이전 발매	드라마	OST	주식회사 카카오엔터테인먼트	㈜SBS콘텐츠허브
2024-01-01	2024년	1	79	87928158	2002	Anne-Marie	Speak Your Mind (Deluxe)	2018-04-27	이전 발매	팝	POP	워너뮤직코리아(주)(해외)	Atlantic Records UK
2024-01-01	2024년	1	80	97313940	그라데이션	10CM	5.3	2022-07-03	이전 발매	인디	가요	주식회사 카카오엔터테인먼트	매직스트로베리사운드
2024-01-01	2024년	1	81	87538989	Snowman	Sia	Everyday Is Christmas (Snowman Deluxe Edition)	2022-12-30	이전 발매	팝	POP	워너뮤직코리아(주)(해외)	Monkey Puzzle, Atlantic
2024-01-01	2024년	1	82	96550868	The Drum	Alan Walker	Walkerverse, Pt. I	2022-06-17	이전 발매	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	MER Recordings
2024-01-01	2024년	1	83	98636488	When I Get Old	Christopher & 청하	When I Get Old	2022-10-20	이전 발매	팝	POP	워너뮤직코리아(주)(해외)	Parlophone Denmark
2024-01-01	2024년	1	84	96276241	TOMBOY	(여자)아이들	I NEVER DIE	2022-03-14	이전 발매	락	가요	주식회사 카카오엔터테인먼트	큐브 엔터테인먼트
2024-01-01	2024년	1	85	95214287	눈이 오잖아 (Feat. 헤이즈)	이무진	눈이 오잖아	2021-12-03	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	쇼플레이엔터테인먼트
2024-01-01	2024년	1	86	96549502	우리들의 블루스	임영웅	IM HERO	2022-05-02	이전 발매	발라드	가요	(주)드림어스컴퍼니(국내)	물고기뮤직
2024-01-01	2024년	1	87	100288016	Teddy Bear	STAYC (스테이씨)	Teddy Bear	2023-02-14	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	HIGHUP ENTERTAINMENT
2024-01-01	2024년	1	88	92682935	Off My Face	Justin Bieber	Justice	2021-03-19	이전 발매	팝	POP	(주)유니버설뮤직(해외)	RBMG, Def Jam
2024-01-01	2024년	1	89	96367880	내가 아니라도	주호	내가 아니라도	2022-03-25	이전 발매	발라드	가요	(주)비타민엔터테인먼트(국내)	IN A MILLION
2024-01-01	2024년	1	90	90077755	이제 나만 믿어요	임영웅	내일은 미스터트롯 우승자 특전곡	2020-04-03	이전 발매	트로트	가요	주식회사 카카오엔터테인먼트	TV CHOSUN
2024-01-01	2024년	1	91	93300145	신호등	이무진	신호등	2021-05-14	이전 발매	락	가요	주식회사 카카오엔터테인먼트	쇼플레이엔터테인먼트
2024-01-01	2024년	1	92	87872613	어른	Sondia	나의 아저씨 OST Part. 2 (tvN 수목드라마)	2018-03-29	이전 발매	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2024-01-01	2024년	1	93	103625344	GODS	NewJeans & League of Legends	2023 리그 오브 레전드 월드 챔피언십 주제곡	2023-10-04	이전 발매	애니메이션/게임	OST	STONE MUSIC ENTERTAINMENT(유통대행)	라이엇 게임즈
2024-01-01	2024년	1	94	101713249	사랑..그게 뭔데	지아	사랑..그게 뭔데	2023-05-12	이전 발매	발라드	가요	주식회사 벅스(BUGS Corporation)	니즈뮤직
2024-01-01	2024년	1	95	90705547	Dynamite	방탄소년단	Dynamite (DayTime Ver.)	2020-08-21	이전 발매	댄스	가요	(주)와이지플러스	BIGHIT MUSIC
2024-01-01	2024년	1	96	91361957	밤하늘의 별을 (2020)	경서	밤하늘의 별을 (2020)	2020-11-14	이전 발매	인디	가요	주식회사 카카오엔터테인먼트	꿈의 엔진
2024-01-01	2024년	1	97	104169271	MANIAC	VIVIZ (비비지)	The 4th Mini Album 'VERSUS'	2023-11-02	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	BIGPLANETMADE
2024-01-01	2024년	1	98	104802807	사랑할 수밖에	볼빨간사춘기	Merry Go Round	2023-12-12	이전 발매	인디	가요	주식회사 벅스(BUGS Corporation)	쇼파르엔터테인먼트
2024-01-01	2024년	1	99	104297481	Chill Kill	Red Velvet (레드벨벳)	Chill Kill - The 3rd Album	2023-11-13	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	SM ENTERTAINMENT
2024-01-01	2024년	1	100	86868102	첫눈처럼 너에게 가겠다	에일리 (Ailee)	도깨비 OST Part 9 (tvN 금토드라마)	2017-01-07	이전 발매	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment, 화앤담픽쳐스
2024-01-01	2024년	1	101	98314955	Shut Down	BLACKPINK	BORN PINK	2022-09-16	이전 발매	랩/힙합	가요	(주)와이지플러스	YG Entertainment
2024-01-01	2024년	1	102	82975165	Santa Tell Me	Ariana Grande	Santa Tell Me	2014-11-25	이전 발매	캐롤	그외장르	(주)유니버설뮤직(해외)	
2024-01-01	2024년	1	103	94980637	오르트구름	윤하 (YOUNHA)	YOUNHA 6th Album 'END THEORY'	2021-11-16	이전 발매	발라드	가요	주식회사 카카오엔터테인먼트	C9 ENTERTAINMENT
2024-01-01	2024년	1	104	104040597	음악의 신	세븐틴 (SEVENTEEN)	SEVENTEEN 11th Mini Album 'SEVENTEENTH HEAVEN'	2023-10-23	이전 발매	댄스	가요	(주)와이지플러스	플레디스 엔터테인먼트
2024-01-01	2024년	1	105	89058209	오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)	마크툽 (Maktub)	Red Moon : To You My Light	2019-06-09	이전 발매	인디	가요	(주)비타민엔터테인먼트(국내)	(주)MAKTUB Company
2024-01-01	2024년	1	106	95188110	ELEVEN	IVE (아이브)	ELEVEN	2021-12-01	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	스타쉽 엔터테인먼트
2024-01-01	2024년	1	107	101674536	잠깐 시간 될까	이무진	잠깐 시간 될까	2023-05-09	이전 발매	블루스/포크	가요	주식회사 카카오엔터테인먼트	BIGPLANETMADE, SWING ENTERTAINMENT
2024-01-01	2024년	1	108	104190936	Standing Next to You	정국	GOLDEN	2023-11-03	이전 발매	댄스	가요	(주)와이지플러스	BIGHIT MUSIC
2024-01-01	2024년	1	109	93299407	Loving You Girl (Feat. Hkeem)	Peder Elias	Love & Loneliness	2022-04-29	이전 발매	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Columbia
2024-01-01	2024년	1	110	104100664	밤, 바다	최유리	여행 : 플리(playlist) OST Part.2	2023-10-29	이전 발매	발라드	가요	주식회사 벅스(BUGS Corporation)	(주)도너츠컬처
2024-01-01	2024년	1	111	98133352	새삥 (Prod. by ZICO) (Feat. 호미들)	지코 (ZICO)	스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)	2022-09-06	이전 발매	전체	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2024-01-01	2024년	1	112	89320910	흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야	장범준	멜로가 체질 OST Part 3 (JTBC 금토 드라마)	2019-08-23	이전 발매	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment, 삼화네트웍스
2024-01-01	2024년	1	113	80897960	미리 메리 크리스마스 (Feat. 천둥 of MBLAQ)	아이유 (IU)	REAL	2010-12-09	이전 발매	전체	가요	주식회사 카카오엔터테인먼트	카카오엔터테인먼트
2024-01-01	2024년	1	114	96482850	봄여름가을겨울 (Still Life)	BIGBANG (빅뱅)	봄여름가을겨울 (Still Life)	2022-04-05	이전 발매	락	가요	(주)와이지플러스	YG Entertainment
2024-01-01	2024년	1	115	104263630	지극히 사적인 얘기	다비치	지극히 사적인 얘기	2023-11-15	이전 발매	발라드	가요	STONE MUSIC ENTERTAINMENT(유통대행)	WAKEONE
2024-01-01	2024년	1	116	97970302	Pink Venom	BLACKPINK	BORN PINK	2022-09-16	이전 발매	랩/힙합	가요	(주)와이지플러스	YG Entertainment
2024-01-01	2024년	1	117	89617967	이루리	우주소녀	As You Wish	2019-11-19	이전 발매	댄스	가요	주식회사 카카오엔터테인먼트	스타쉽 엔터테인먼트
