타입	아티스트명	앨범명	곡명	투자구분	서비스적용일(+이관일)	권리사(LH)
싱글	RB4 (알비포)	찬란한 내 인생 OST Part.5 (MBC 일일드라마)	둘이서	일반	2025-08-01	주식회사 강공컴퍼니
싱글	RB4 (알비포)	찬란한 내 인생 OST Part.5 (MBC 일일드라마)	둘이서 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	범진	바래	팔베개	일반	2025-08-01	주식회사 강공컴퍼니
싱글	범진	바래	바래	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	서지오	찬란한 내 인생 OST Part.4 (MBC 일일드라마)	우리 서로가	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	서지오	찬란한 내 인생 OST Part.4 (MBC 일일드라마)	우리 서로가 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	박강성	찬란한 내 인생 OST Part.3 (MBC 일일드라마)	그대를 사랑합니다	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	박강성	찬란한 내 인생 OST Part.3 (MBC 일일드라마)	그대를 사랑합니다 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	박강성	찬란한 내 인생 OST Part.3 (MBC 일일드라마)	그대를 사랑합니다 (Guitar Ver.)	일반	2025-08-01	주식회사 강공컴퍼니
그 외 기타	박강성	찬란한 내 인생 OST Part.3 (MBC 일일드라마)	그대를 사랑합니다 (Guitar Ver.) (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	ISHA (이샤)	찬란한 내 인생 OST Part.2 (MBC 일일드라마)	반짝여라 인생아	일반	2025-08-01	주식회사 강공컴퍼니
싱글	ISHA (이샤)	찬란한 내 인생 OST Part.2 (MBC 일일드라마)	반짝여라 인생아 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	기다온	찬란한 내 인생 OST Part.1 (MBC 일일드라마)	SUNSHINE	일반	2025-08-01	주식회사 강공컴퍼니
싱글	기다온	찬란한 내 인생 OST Part.1 (MBC 일일드라마)	SUNSHINE (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	서주경	어쩌다 가족 OST Part.5 (TV조선 일요드라마)	어쩌다	일반	2025-08-01	주식회사 강공컴퍼니
싱글	서주경	어쩌다 가족 OST Part.5 (TV조선 일요드라마)	어쩌다 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	전영록 & 김성현	어쩌다 가족 OST Part.4 (TV조선 일요드라마)	바람꽃	일반	2025-08-01	주식회사 강공컴퍼니
싱글	전영록 & 김성현	어쩌다 가족 OST Part.4 (TV조선 일요드라마)	바람꽃 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	고재근	어쩌다 가족 OST Part.3 (TV조선 일요드라마)	안변합니다	일반	2025-08-01	주식회사 강공컴퍼니
싱글	고재근	어쩌다 가족 OST Part.3 (TV조선 일요드라마)	안변합니다 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	이본	어쩌다 가족 OST Part.2 (TV조선 일요드라마)	어떡해	일반	2025-08-01	주식회사 강공컴퍼니
싱글	이본	어쩌다 가족 OST Part.2 (TV조선 일요드라마)	어떡해 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	전영록	어쩌다 가족 OST Part.1 (TV조선 일요드라마)	꿈꾸는 달팽이	일반	2025-08-01	주식회사 강공컴퍼니
싱글	전영록	어쩌다 가족 OST Part.1 (TV조선 일요드라마)	꿈꾸는 달팽이 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
EP	범진	무념무상	기다리다가	일반	2025-08-01	주식회사 강공컴퍼니
EP	범진	무념무상	언제까지나	일반	2025-08-01	주식회사 강공컴퍼니
EP	범진	무념무상	무념무상	일반	2025-08-01	주식회사 강공컴퍼니
EP	범진	무념무상	언제까지나 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
EP	범진	무념무상	무념무상 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
EP	박다예	이브의 사랑 OST Part.2 (MBC 일일드라마)	내 사랑은 너뿐야	일반	2025-08-01	주식회사 강공컴퍼니
EP	GA EUN (김가은)	이브의 사랑 OST Part.2 (MBC 일일드라마)	내 것이 아닌 사랑	일반	2025-08-01	주식회사 강공컴퍼니
EP	CS양송희	이브의 사랑 OST Part.2 (MBC 일일드라마)	눈물이 말해줘	일반	2025-08-01	주식회사 강공컴퍼니
싱글	권인하	이브의 사랑 OST Part.1 (MBC 일일드라마)	가끔 문득	일반	2025-08-01	주식회사 강공컴퍼니
싱글	더러쉬 (The Lush)	이브의 사랑 OST Part.1 (MBC 일일드라마)	Dream	일반	2025-08-01	주식회사 강공컴퍼니
싱글	Fixie(픽시)	이브의 사랑 OST Part.1 (MBC 일일드라마)	Day By Day	일반	2025-08-01	주식회사 강공컴퍼니
싱글	조병준	이브의 사랑 OST Part.1 (MBC 일일드라마)	지워도 지워도	일반	2025-08-01	주식회사 강공컴퍼니
싱글	BTL	Beyond The Limit	Break The Limit	일반	2025-08-01	주식회사 원탑엔터테인먼트
싱글	BTL	Beyond The Limit	투지 (鬪志)	일반	2025-08-01	주식회사 원탑엔터테인먼트
싱글	BTL	Beyond The Limit	투지 (鬪志) (Inst.)	일반	2025-08-01	주식회사 원탑엔터테인먼트
정규	원미연	천사의 선택 OST (MBC 일일드라마)	위로해 주세요	일반	2025-08-01	주식회사 강공컴퍼니
정규	박강성	천사의 선택 OST (MBC 일일드라마)	이 못난 사랑아	일반	2025-08-01	주식회사 강공컴퍼니
정규	Zinan	천사의 선택 OST (MBC 일일드라마)	숨이 막혀	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	천사의 선택 OST (MBC 일일드라마)	Angel's Choice	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	천사의 선택 OST (MBC 일일드라마)	So I Love You	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	천사의 선택 OST (MBC 일일드라마)	Fall In	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	천사의 선택 OST (MBC 일일드라마)	End Of Revenge	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	천사의 선택 OST (MBC 일일드라마)	Tear Of An Angel	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	천사의 선택 OST (MBC 일일드라마)	Unfaithful	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	천사의 선택 OST (MBC 일일드라마)	Sadness	일반	2025-08-01	주식회사 강공컴퍼니
정규	Various Artists	천사의 선택 OST (MBC 일일드라마)	Surprise	일반	2025-08-01	주식회사 강공컴퍼니
정규	원미연	천사의 선택 OST (MBC 일일드라마)	위로해 주세요 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
정규	박강성	천사의 선택 OST (MBC 일일드라마)	이 못난 사랑아 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
정규	Zinan	천사의 선택 OST (MBC 일일드라마)	숨이 막혀 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	원미연	천사의 선택 OST Part.2 (MBC 일일드라마)	위로해 주세요	일반	2025-08-01	주식회사 강공컴퍼니
싱글	원미연	천사의 선택 OST Part.2 (MBC 일일드라마)	위로해 주세요 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	박강성	천사의 선택 OST Part.1 (MBC 일일드라마)	이 못난 사랑아	일반	2025-08-01	주식회사 강공컴퍼니
싱글	Zinan	천사의 선택 OST Part.1 (MBC 일일드라마)	숨이 막혀	일반	2025-08-01	주식회사 강공컴퍼니
싱글	박강성	천사의 선택 OST Part.1 (MBC 일일드라마)	이 못난 사랑아 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	Zinan	천사의 선택 OST Part.1 (MBC 일일드라마)	숨이 막혀 (Inst.)	일반	2025-08-01	주식회사 강공컴퍼니
싱글	희	양정승 프로젝트	미친 거 맞아 (Feat. 나몰라패밀리JW ＆ 스티거)	일반	2025-08-01	주식회사 원탑엔터테인먼트
싱글	희	양정승 프로젝트	미친 거 맞아 (Inst.)	일반	2025-08-01	주식회사 원탑엔터테인먼트
