날짜	년도	곡수	순위	곡 코드	음원명	아티스트명	앨범명	발매일	발매년도	장르_세부	장르	유통사명	기획사명
2022-12-18	2022년	1	136	82072538	스물다섯, 스물하나	자우림	Goodbye, grief.	2013-10-14	이전발매	락	가요	주식회사 인터파크	LOVE MANEUVER
2022-12-18	2022년	1	137	92673418	사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco)	호미들	사이렌 Remix	2021-03-20	이전발매	랩/힙합	가요	주식회사 카카오엔터테인먼트	영앤리치 레코즈
2022-12-18	2022년	1	138	82119386	Underneath the Tree	Kelly Clarkson	Wrapped In Red (Deluxe Ver.)	2020-11-06	이전발매	캐롤	그외장르	소니뮤직엔터테인먼트코리아(주)(해외)	RCA, Legacy
2022-12-18	2022년	1	139	94395717	My Universe	Coldplay & 방탄소년단	My Universe	2021-09-24	이전발매	팝	POP	워너뮤직코리아(주)(해외)	Parlophone UK
2022-12-18	2022년	1	140	90021550	아로하	조정석	슬기로운 의사생활 OST Part 3 (tvN 목요드라마)	2020-03-27	이전발매	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2022-12-18	2022년	1	141	99296208	크리스마스에는	이보람 (씨야) & 펀치 (Punch) & 백예빈	크리스마스에는	2022-12-18	2022년	발라드	가요	주식회사 카카오엔터테인먼트	냠냠엔터테인먼트
2022-12-18	2022년	1	141	99296208	크리스마스에는	이보람 (씨야) & 펀치 (Punch) & 백예빈	크리스마스에는	2022-12-18	2022년	발라드	가요	STONE MUSIC ENTERTAINMENT(유통대행)	냠냠엔터테인먼트
2022-12-18	2022년	1	142	99525638	너에게 다줄게 (Feat. 이진이)	디셈버 (December)	너에게 다줄게	2022-12-18	2022년	발라드	가요	주식회사 카카오엔터테인먼트	주식회사씨에스해피엔터테인먼트
2022-12-18	2022년	1	143	89671631	METEOR	창모 (CHANGMO)	Boyhood	2019-11-29	이전발매	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통대행)	Ambition Musik
2022-12-18	2022년	1	144	99296683	흩어지지 않게	엠씨더맥스 (M.C the MAX)	흩어지지 않게	2022-12-05	2022년	발라드	가요	주식회사 카카오엔터테인먼트	325 이엔씨
2022-12-18	2022년	1	145	95514753	드라마	아이유 (IU)	조각집	2021-12-29	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2022-12-18	2022년	1	146	99014222	Polaroid	임영웅	Polaroid	2022-11-15	2022년	락	가요	(주)드림어스컴퍼니(국내)	물고기뮤직
2022-12-18	2022년	1	147	97028103	Yet To Come	방탄소년단	Proof	2022-06-10	2022년	랩/힙합	가요	(주)와이지플러스	BIGHIT MUSIC
2022-12-18	2022년	1	148	94054417	abcdefu	GAYLE	abcdefu	2021-08-13	이전발매	팝	POP	워너뮤직코리아(주)(해외)	Atlantic, Arthouse Records
2022-12-18	2022년	1	149	88074702	Way Back Home	숀 (SHAUN)	Take	2018-06-27	이전발매	인디	가요	(주)비타민엔터테인먼트(국내)	디씨톰엔터테인먼트
2022-12-18	2022년	1	150	93873862	비가 오는 날엔 (2021)	헤이즈 (Heize)	비가 오는 날엔 (2021)	2021-08-04	이전발매	드라마	OST	STONE MUSIC ENTERTAINMENT(유통대행)	PLAYLIST
2022-12-18	2022년	1	151	95256356	서랍	10CM	그 해 우리는 OST Part.1	2021-12-07	이전발매	드라마	OST	주식회사 벅스(BUGS Corporation)	모스트콘텐츠
2022-12-18	2022년	1	152	93721048	Permission to Dance	방탄소년단	Butter / Permission to Dance	2021-07-09	이전발매	댄스	가요	(주)와이지플러스	BIGHIT MUSIC
2022-12-18	2022년	1	153	88276286	첫사랑	백아	첫사랑	2018-10-11	이전발매	블루스/포크	가요	마운드미디어 주식회사	Baek A
2022-12-18	2022년	1	154	99513991	BLUE CHECK (Feat. 박재범 & 제시) (Prod. by Slom)	토이고 (toigo)	쇼미더머니 11 Episode 3	2022-12-17	2022년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2022-12-18	2022년	1	155	95684421	호랑수월가	탑현	호랑수월가	2022-01-15	2022년	전체	OST	주식회사 카카오엔터테인먼트	탑현월드
2022-12-18	2022년	1	156	89374289	Memories	Maroon 5	Memories	2019-09-20	이전발매	팝	POP	(주)유니버설뮤직(해외)	Interscope Records (222 Records)
2022-12-18	2022년	1	157	87307557	있잖아	폴킴	연애플레이리스트2 OST Part.2	2017-07-21	이전발매	드라마	OST	(주)삼쩜일사	스페이스오디티
2022-12-18	2022년	1	158	96786265	I Ain't Worried	OneRepublic	I Ain't Worried (Music From The Motion Picture 'Top Gun : Maverick')	2022-05-13	2022년	팝	POP	(주)유니버설뮤직(해외)	Mosley Music, Interscope Records
2022-12-18	2022년	1	159	89558702	늦은 밤 너의 집 앞 골목길에서	노을	늦은 밤 너의 집 앞 골목길에서	2019-11-07	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	씨제스 엔터테인먼트 (C-JeS Entertainment)
2022-12-18	2022년	1	160	96830137	늦은 밤 헤어지긴 너무 아쉬워	케이시 (Kassy)	LOVE & HATE	2022-05-19	2022년	발라드	가요	주식회사 카카오엔터테인먼트	넥스타엔터테인먼트
2022-12-18	2022년	1	161	89296790	안녕	폴킴	호텔 델루나 OST Part.10 (tvN 토일드라마)	2019-08-12	이전발매	드라마	OST	(주)드림어스컴퍼니(국내)	냠냠엔터테인먼트
2022-12-18	2022년	1	162	96696811	A bientot	임영웅	IM HERO	2022-05-02	2022년	발라드	가요	(주)드림어스컴퍼니(국내)	물고기뮤직
2022-12-18	2022년	1	163	82779996	사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네	잔나비	봉춤을 추네	2014-08-28	이전발매	인디	가요	주식회사 카카오엔터테인먼트	페포니 뮤직
2022-12-18	2022년	1	164	99512831	Graduation	NCT DREAM	Candy - Winter Special Mini Album	2022-12-16	2022년	댄스	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2022-12-18	2022년	1	165	99266254	아저씨	릴러말즈 (Leellamarz) & 크루셜스타 (CRUCiAL STAR) & QM & 김재욱 & NSW yoon & 다민이 (DAMINI)	쇼미더머니 11 Episode 1	2022-12-03	2022년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2022-12-18	2022년	1	166	99382513	Flick (Feat. BE'O (비오) & 김하온 (HAON)) (Prod. by GroovyRoom)	노윤하	쇼미더머니 11 Episode 2	2022-12-10	2022년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2022-12-18	2022년	1	167	87034188	밤편지	아이유 (IU)	밤편지	2017-03-24	이전발매	발라드	가요	주식회사 카카오엔터테인먼트	카카오엔터테인먼트, ㈜페이브엔터테인먼트
