날짜	년도	순위	곡수	곡 코드	음원명	아티스트명	앨범명	발매일	발매년도	장르_세부	장르	유통사명	기획사명
2021-05-12	2021년	109	1	86115672	사랑하자	SG워너비	태양의 후예 OST Part.8 (KBS2 수목드라마)	2016-03-31	2016년	드라마	OST	(주)뮤직앤뉴	모스트콘텐츠, (주)뮤직앤뉴
2021-05-12	2021년	110	1	87894567	Bad	Christopher	Under the Surface	2019-11-08	2019년	팝	POP	워너뮤직코리아(주)(해외)	Parlophone Denmark
2021-05-12	2021년	111	1	93197721	헤어지는거죠	펀치 (Punch)	헤어지는거죠	2021-05-05	2021년	R&B/소울	가요	STONE MUSIC ENTERTAINMENT(유통대행)	냠냠엔터테인먼트
2021-05-12	2021년	112	1	88727092	bad guy	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	2019-03-29	2019년	락	POP	(주)유니버설뮤직(해외)	Darkroom, Interscope Records
2021-05-12	2021년	113	1	92749709	에필로그	아이유 (IU)	IU 5th Album 'LILAC'	2021-03-25	2021년	댄스	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2021-05-12	2021년	114	1	88707240	노래방에서	장범준	장범준 3집	2019-03-21	2019년	락	가요	주식회사 카카오엔터테인먼트	㈜버스커버스커
2021-05-12	2021년	115	1	88323996	Comethru	Jeremy Zucker	Summer,	2018-09-28	2018년	팝	POP	(주)유니버설뮤직(해외)	Republic Records
2021-05-12	2021년	116	1	87506735	All Falls Down (Feat. Juliander)	Alan Walker & Noah Cyrus & Digital Farm Animals	Different World	2018-12-14	2018년	일렉트로니카	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Mer Musikk
2021-05-12	2021년	117	1	88709300	사계 (Four Seasons)	태연 (TAEYEON)	사계 (Four Seasons)	2019-03-24	2019년	발라드	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-05-12	2021년	118	1	87594329	Downtown Baby	블루 (BLOO)	Downtown Baby	2017-12-06	2017년	랩/힙합	가요	(주)비타민엔터테인먼트(국내)	UNCUTPOINT
2021-05-12	2021년	119	1	86868163	Shape Of You	Ed Sheeran	÷ (Deluxe)	2017-03-03	2017년	팝	POP	워너뮤직코리아(주)(해외)	Atlantic Records UK
2021-05-12	2021년	120	1	91226644	34＋35	Ariana Grande	Positions	2020-10-30	2020년	팝	POP	(주)유니버설뮤직(해외)	Republic Records, a division of UMG Recordings, Inc.
2021-05-12	2021년	121	1	90250302	사랑하게 될 줄 알았어	전미도	슬기로운 의사생활 OST Part 11 (tvN 목요드라마)	2020-05-22	2020년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-05-12	2021년	122	1	89702572	Square (2017)	백예린 (Yerin Baek)	Every letter I sent you.	2019-12-10	2019년	전체	가요	(주)드림어스컴퍼니(국내)	블루바이닐
2021-05-12	2021년	123	1	91096604	딩가딩가 (Dingga)	마마무(Mamamoo)	딩가딩가 (Dingga)	2020-10-20	2020년	댄스	가요	주식회사 카카오엔터테인먼트	(주)RBW
2021-05-12	2021년	124	1	89623205	우리 왜 헤어져야 해	신예영	우리 왜 헤어져야 해	2019-11-20	2019년	발라드	가요	주식회사 카카오엔터테인먼트	㈜ 스튜디오 오드리
2021-05-12	2021년	125	1	90451189	마리아 (Maria)	화사 (Hwa Sa)	María	2020-06-29	2020년	댄스	가요	주식회사 카카오엔터테인먼트	(주)RBW
2021-05-12	2021년	126	1	88860334	Painkiller	Ruel	Painkiller	2019-04-30	2019년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	RCA Records Label
2021-05-12	2021년	127	1	91466463	혼술하고 싶은 밤	벤	혼술하고 싶은 밤	2020-12-02	2020년	발라드	가요	(주)지니뮤직(펀드)	메이저나인
2021-05-12	2021년	128	1	92558379	별빛 같은 나의 사랑아	임영웅	별빛 같은 나의 사랑아	2021-03-09	2021년	트로트	가요	주식회사 카카오엔터테인먼트	티조컬처앤컨텐츠, 뉴에라프로젝트, 물고기뮤직
2021-05-12	2021년	129	1	92607625	이렇게 좋아해 본 적이 없어요	CHEEZE (치즈)	이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈))	2021-03-14	2021년	인디	가요	주식회사 벅스(BUGS Corporation)	모스트콘텐츠 & 니즈뮤직
2021-05-12	2021년	130	1	86868102	첫눈처럼 너에게 가겠다	에일리 (Ailee)	도깨비 OST Part 9 (tvN 금토드라마)	2017-01-07	2017년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment, 화앤담픽쳐스
2021-05-12	2021년	131	1	91264455	HERO	임영웅	HERO	2020-11-04	2020년	트로트	가요	주식회사 카카오엔터테인먼트	티조컬처앤컨텐츠, 뉴에라프로젝트
2021-05-12	2021년	132	1	88703035	On My Way	Alan Walker & Sabrina Carpenter & Farruko	On My Way	2019-03-21	2019년	일렉트로니카	POP	소니뮤직엔터테인먼트코리아(주)(해외)	MER Sweden AB
2021-05-12	2021년	133	1	88261335	사랑에 연습이 있었다면 (Prod. by 2soo)	임재현	사랑에 연습이 있었다면	2018-09-25	2018년	발라드	가요	주식회사 카카오엔터테인먼트	엔에스씨컴퍼니, 디원미디어
2021-05-12	2021년	134	1	88501296	그때가 좋았어	케이시 (Kassy)	그때가 좋았어	2018-12-31	2018년	발라드	가요	주식회사 카카오엔터테인먼트	넥스타엔터테인먼트
2021-05-12	2021년	135	1	91911103	Your Lights	이수 (엠씨더맥스)	Your Lights (바이크 원정대 OST Part.1)	2021-01-07	2021년	전체	OST	주식회사 벅스(BUGS Corporation)	(주)도너츠컬처
2021-05-12	2021년	136	1	91563412	내일이 오면 (Feat. 기리보이 & BIG Naughty (서동현))	릴보이 (lIlBOI)	쇼미더머니 9 Episode 3	2020-12-05	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-05-12	2021년	137	1	88987356	사랑이 식었다고 말해도 돼	먼데이 키즈 (Monday Kiz)	사랑이 식었다고 말해도 돼	2019-05-27	2019년	발라드	가요	주식회사 카카오엔터테인먼트	먼데이키즈 컴퍼니
2021-05-12	2021년	138	1	92345821	함께 했는데 이별은 나 혼자인 거야	이소정	함께 했는데 이별은 나 혼자인 거야	2021-02-19	2021년	발라드	가요	주식회사 벅스(BUGS Corporation)	니즈뮤직
2021-05-12	2021년	139	1	90191450	Stuck With U	Ariana Grande & Justin Bieber	Stuck with U	2020-05-08	2020년	팝	POP	(주)유니버설뮤직(해외)	Silent Records Ventures, LLC, Def Jam Recordings, A Division Of UMG Recordings, Inc., And Republic Records, A Division Of UMG Recordings, Inc.
2021-05-12	2021년	140	1	89339699	다시 만날까 봐	V.O.S	다시 만날까 봐	2019-09-01	2019년	발라드	가요	주식회사 카카오엔터테인먼트	J-SOUL company
2021-05-12	2021년	141	1	90567079	Mood (Feat. Iann Dior)	24KGoldn	El Dorado	2021-03-26	2021년	랩/힙합	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Records, Columbia
2021-05-12	2021년	142	1	80710177	그대를 사랑하는 10가지 이유	이석훈	인사	2010-05-24	2010년	발라드	가요	주식회사 카카오엔터테인먼트	아이에스엔터미디어그룹
2021-05-12	2021년	143	1	91840671	요즘	양다일	요즘	2020-12-29	2020년	발라드	가요	주식회사 카카오엔터테인먼트	브랜뉴뮤직 (Brand New Music)
2021-05-12	2021년	144	1	92749706	빈 컵 (Empty Cup)	아이유 (IU)	IU 5th Album 'LILAC'	2021-03-25	2021년	댄스	가요	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2021-05-12	2021년	145	1	88729142	시든 꽃에 물을 주듯	HYNN (박혜원)	시든 꽃에 물을 주듯	2019-03-31	2019년	발라드	가요	주식회사 카카오엔터테인먼트	㈜엔터테인먼트뉴오더
2021-05-12	2021년	146	1	85433670	YOUTH	Troye Sivan	Blue Neighbourhood (Deluxe Edition)	2016-01-23	2016년	일렉트로니카	POP	(주)유니버설뮤직(해외)	Universal Music Australia Pty Ltd.
2021-05-12	2021년	147	1	90001474	좋은 사람 있으면 소개시켜줘	조이 (JOY)	슬기로운 의사생활 OST Part 2 (tvN 목요드라마)	2020-03-20	2020년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-05-12	2021년	148	1	91666269	What Do I Call You	태연 (TAEYEON)	What Do I Call You - The 4th Mini Album	2020-12-15	2020년	R&B/소울	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-05-12	2021년	149	1	92561409	되풀이	임창정	펜트하우스2 OST Part.1 (SBS 금토드라마)	2021-03-09	2021년	드라마	OST	(주)드림어스컴퍼니(국내)	㈜SBS콘텐츠허브
2021-05-12	2021년	150	1	92653096	어떤X (What Type of X)	제시 (Jessi)	어떤X (What Type of X)	2021-03-17	2021년	랩/힙합	가요	주식회사 카카오엔터테인먼트	피네이션
2021-05-12	2021년	151	1	80845355	해바라기	SG워너비	SG Wannabe 7 Part.1	2010-10-19	2010년	발라드	가요	STONE MUSIC ENTERTAINMENT(유통대행)	아이에스엔터미디어그룹
2021-05-12	2021년	152	1	89852057	Bang!	AJR	OK ORCHESTRA	2021-03-26	2021년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Black Butter
2021-05-12	2021년	153	1	89238855	그대라는 시	태연 (TAEYEON)	호텔 델루나 OST Part.3 (tvN 토일드라마)	2019-07-21	2019년	드라마	OST	주식회사 카카오엔터테인먼트	냠냠엔터테인먼트
2021-05-12	2021년	154	1	89855703	To Die For	Sam Smith	To Die For	2020-02-14	2020년	팝	POP	(주)유니버설뮤직(해외)	Universal Music Operations Limited
2021-05-12	2021년	155	1	88286541	삐삐	아이유 (IU)	삐삐	2018-10-10	2018년	R&B/소울	가요	주식회사 카카오엔터테인먼트	카카오엔터테인먼트
2021-05-12	2021년	156	1	92046524	그대 없이 그대와	HYNN (박혜원)	그대 없이 그대와	2021-01-21	2021년	발라드	가요	주식회사 카카오엔터테인먼트	㈜엔터테인먼트뉴오더
2021-05-12	2021년	157	1	89275179	기억해줘요 내 모든 날과 그때를	거미 (Gummy)	호텔 델루나 OST Part.7 (tvN 토일드라마)	2019-08-04	2019년	드라마	OST	주식회사 카카오엔터테인먼트	냠냠엔터테인먼트
2021-05-12	2021년	158	1	90031687	처음처럼	엠씨더맥스 (M.C the MAX)	CEREMONIA	2020-03-25	2020년	발라드	가요	주식회사 카카오엔터테인먼트	325 이엔씨
2021-05-12	2021년	159	1	93058835	365&7 (Feat. JAMIE)	pH-1	365&7	2021-04-29	2021년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통대행)	H1GHR MUSIC
2021-05-12	2021년	160	1	93232281	응급실 (2021)	황인욱	응급실 (2021)	2021-05-07	2021년	발라드	가요	주식회사 벅스(BUGS Corporation)	하우엔터테인먼트
2021-05-12	2021년	161	1	92402200	꼬리 (TAIL)	선미	꼬리 (TAIL)	2021-02-23	2021년	댄스	가요	주식회사 카카오엔터테인먼트	(주)어비스컴퍼니
2021-05-12	2021년	162	1	87998685	여행	볼빨간사춘기	Red Diary Page.2	2018-05-24	2018년	인디	가요	주식회사 벅스(BUGS Corporation)	쇼파르뮤직
2021-05-12	2021년	163	1	83803624	우연히 봄	로꼬 & 유주 (YUJU)	냄새를 보는 소녀 OST Part.2 (SBS 수목드라마)	2015-04-08	2015년	드라마	OST	주식회사 카카오엔터테인먼트	(주)도너츠컬처
2021-05-12	2021년	164	1	93272114	Bk Love (Feat. 이해리 of 다비치)	MC 스나이퍼	Chronicles	2021-05-11	2021년	랩/힙합	가요	주식회사 벅스(BUGS Corporation)	B-Kite
2021-05-12	2021년	165	1	90602627	눈누난나 (NUNU NANA)	제시 (Jessi)	NUNA	2020-07-30	2020년	랩/힙합	가요	주식회사 카카오엔터테인먼트	피네이션
2021-05-12	2021년	166	1	92961799	Atlantis	SHINee (샤이니)	Atlantis - The 7th Album Repackage	2021-04-12	2021년	댄스	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-05-12	2021년	167	1	86432095	The Ocean (Feat. Shy Martin)	Mike Perry	The Ocean	2016-04-15	2016년	일렉트로니카	POP	소니뮤직엔터테인먼트코리아(주)(해외)	DF Records
2021-05-12	2021년	168	1	89883242	ON	방탄소년단	MAP OF THE SOUL : 7	2020-02-21	2020년	랩/힙합	가요	(주)와이지플러스	BIGHIT MUSIC
2021-05-12	2021년	169	1	92845880	안녕이란 (Two Letters)	황치열	Be My Reason	2021-04-02	2021년	발라드	가요	주식회사 카카오엔터테인먼트	TEN2 Entertainment
2021-05-12	2021년	170	1	89598605	HIP	마마무(Mamamoo)	reality in BLACK	2019-11-14	2019년	댄스	가요	주식회사 카카오엔터테인먼트	(주)RBW
2021-05-12	2021년	171	1	90520051	거짓말이라도 해서 널 보고싶어	백지영	거짓말이라도 해서 널 보고싶어	2020-07-14	2020년	발라드	가요	주식회사 카카오엔터테인먼트	트라이어스
2021-05-12	2021년	172	1	92604204	Gone	로제 (ROSÉ)	R	2021-03-12	2021년	락	가요	(주)와이지플러스	YG엔터테인먼트
2021-05-12	2021년	173	1	92118900	I'm Not Cool	현아	I'm Not Cool	2021-01-28	2021년	댄스	가요	주식회사 카카오엔터테인먼트	피네이션
2021-05-12	2021년	174	1	91716684	ON AIR (Feat. 로꼬 & 박재범 & GRAY)	릴보이 (lIlBOI)	쇼미더머니 9 Final	2020-12-19	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-05-12	2021년	175	1	92509877	Beautiful Mistakes	Maroon 5 & Megan Thee Stallion	Beautiful Mistakes	2021-03-03	2021년	팝	POP	(주)유니버설뮤직(해외)	Interscope Records (222 Records)
2021-05-12	2021년	176	1	93269772	Dear you (나의 봄에게)	오마이걸 (OH MY GIRL)	Dear OHMYGIRL	2021-05-10	2021년	전체	가요	소니뮤직엔터테인먼트코리아(주)(국내)	WM Entertainment
2021-05-12	2021년	177	1	89612348	사랑은 (Feat. 원슈타인)	마미손	나의슬픔 (My Sadness)	2019-11-18	2019년	랩/힙합	가요	주식회사 카카오엔터테인먼트	뷰티플노이즈
2021-05-12	2021년	178	1	92413088	사랑하는 당신께	폴킴	사랑하는 당신께	2021-02-25	2021년	발라드	가요	주식회사 카카오엔터테인먼트	뉴런뮤직
2021-05-12	2021년	179	1	92917273	Kiss Me More (Feat. SZA)	Doja Cat	Kiss Me More	2021-04-09	2021년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Kemosabe Records, RCA Records
2021-05-12	2021년	180	1	84861691	One Call Away	Charlie Puth	Nine Track Mind (Deluxe Edition)	2016-11-11	2016년	팝	POP	워너뮤직코리아(주)(해외)	Artist Partner
2021-05-12	2021년	181	1	88182869	계단말고 엘리베이터	임영웅	계단말고 엘리베이터	2018-08-20	2018년	트로트	가요	(주)뮤직앤뉴	물고기뮤직
2021-05-12	2021년	182	1	88947057	너에게 못했던 내 마지막 말은	다비치	너에게 못했던 내 마지막 말은	2019-05-17	2019년	발라드	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-05-12	2021년	183	1	91290290	가을밤에 든 생각	잔나비	잔나비 소곡집 l	2020-11-06	2020년	인디	가요	주식회사 카카오엔터테인먼트	페포니 뮤직
2021-05-12	2021년	184	1	90536476	다시 여기 바닷가	싹쓰리 (유두래곤 & 린다G & 비룡)	다시 여기 바닷가	2020-07-18	2020년	댄스	가요	주식회사 카카오엔터테인먼트	MBC (문화방송)
2021-05-12	2021년	185	1	82280761	너의 모든 순간	성시경	별에서 온 그대 OST Part.7 (SBS 수목드라마)	2014-02-12	2014년	드라마	OST	주식회사 벅스(BUGS Corporation)	㈜SBS콘텐츠허브 (㈜에스비에스콘텐츠허브)
2021-05-12	2021년	186	1	87101804	팔레트 (Feat. G-DRAGON)	아이유 (IU)	Palette	2017-04-21	2017년	발라드	가요	주식회사 카카오엔터테인먼트	카카오엔터테인먼트, ㈜페이브엔터테인먼트
2021-05-12	2021년	187	1	87307557	있잖아	폴킴	연애플레이리스트2 OST Part.2	2017-07-21	2017년	드라마	OST	주식회사 카카오엔터테인먼트	스페이스오디티
2021-05-12	2021년	188	1	91664636	한잔이면 지워질까	황인욱	한잔이면 지워질까	2020-12-15	2020년	발라드	가요	주식회사 벅스(BUGS Corporation)	하우엔터테인먼트
2021-05-12	2021년	189	1	91990448	Rosario (Feat. CL & ZICO)	에픽하이 (EPIK HIGH)	Epik High Is Here 上	2021-01-18	2021년	랩/힙합	가요	주식회사 카카오엔터테인먼트	OURS Co.
2021-05-12	2021년	190	1	91066986	Ashes	Stellar	Ashes	2020-10-13	2020년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Arista Records
2021-05-12	2021년	191	1	90676965	Not Shy	ITZY (있지)	Not Shy	2020-08-17	2020년	댄스	가요	(주)드림어스컴퍼니(국내)	(주)JYP엔터테인먼트
2021-05-12	2021년	192	1	92720605	봄봄봄	임영웅	사랑의 콜센타 PART47	2021-03-23	2021년	트로트	가요	주식회사 카카오엔터테인먼트	TV CHOSUN, ㈜쇼플레이
2021-05-12	2021년	193	1	87403636	폰서트	10CM	4	2017-09-01	2017년	인디	가요	매직스트로베리 주식회사	매직스트로베리사운드
2021-05-12	2021년	194	1	89126578	Senorita	Camila Cabello & Shawn Mendes	Senorita	2019-06-21	2019년	팝	POP	(주)유니버설뮤직(해외)	Island Records, a division of UMG Recordings, Inc.
2021-05-12	2021년	195	1	93165060	여자이니까	벤	여자이니까	2021-05-04	2021년	발라드	가요	(주)지니뮤직(펀드)	메이저나인
2021-05-12	2021년	196	1	86523880	미워요	임영웅	미워요 & 소나기	2016-08-08	2016년	트로트	가요	주식회사 벅스(BUGS Corporation)	물고기뮤직
2021-05-12	2021년	197	1	86523881	소나기	임영웅	미워요 & 소나기	2016-08-08	2016년	트로트	가요	주식회사 벅스(BUGS Corporation)	물고기뮤직
2021-05-12	2021년	198	1	86380457	비	폴킴	비	2016-06-21	2016년	R&B/소울	가요	주식회사 카카오엔터테인먼트	뉴런뮤직
2021-05-12	2021년	199	1	91165220	I CAN'T STOP ME	TWICE (트와이스)	Eyes wide open	2020-10-26	2020년	댄스	가요	(주)드림어스컴퍼니(국내)	(주)JYP엔터테인먼트
2021-05-12	2021년	200	1	91167642	너도 아는	폴킴	너도 아는	2020-10-27	2020년	발라드	가요	주식회사 카카오엔터테인먼트	뉴런뮤직
2021-05-12	2021년	201	1	90551435	홀로	이하이	홀로	2020-07-23	2020년	R&B/소울	가요	STONE MUSIC ENTERTAINMENT(유통대행)	AOMG
2021-05-12	2021년	202	1	85803478	Faded	Alan Walker	Faded	2015-12-04	2015년	일렉트로니카	POP	소니뮤직엔터테인먼트코리아(주)(해외)	MER Recordings
2021-05-12	2021년	203	1	85448749	Love Yourself	Justin Bieber	Purpose (Deluxe Edition)	2015-11-14	2015년	팝	POP	(주)유니버설뮤직(해외)	Def Jam Recordings
2021-05-12	2021년	204	1	88607738	달라달라	ITZY (있지)	IT'z Different	2019-02-12	2019년	댄스	가요	(주)드림어스컴퍼니(국내)	(주)JYP엔터테인먼트
2021-05-12	2021년	205	1	86398575	하이힐	브레이브걸스 (Brave girls)	HIGH HEELS	2016-06-27	2016년	댄스	가요	(주)음악형제들	브레이브엔터테인먼트 (BRAVE ENTERTAINMENT)
2021-05-12	2021년	206	1	92457797	후	임영웅	사랑의 콜센타 PART44	2021-03-02	2021년	트로트	가요	주식회사 카카오엔터테인먼트	TV CHOSUN, ㈜쇼플레이
2021-05-12	2021년	207	1	89744994	Psycho	Red Velvet (레드벨벳)	'The ReVe Festival' Finale	2019-12-23	2019년	댄스	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2021-05-12	2021년	208	1	89119858	포장마차	황인욱	포장마차	2019-06-20	2019년	발라드	가요	주식회사 벅스(BUGS Corporation)	하우엔터테인먼트
2021-05-12	2021년	209	1	91529103	Panorama	IZ*ONE (아이즈원)	One-reeler / Act IV	2020-12-07	2020년	댄스	가요	STONE MUSIC ENTERTAINMENT(유통대행)	오프더레코드엔터테인먼트, 스윙엔터테인먼트
2021-05-12	2021년	210	1	87271938	선물	멜로망스 (MeloMance)	Moonlight	2017-07-10	2017년	인디	가요	주식회사 카카오엔터테인먼트	민트페이퍼, 광합성
2021-05-12	2021년	211	1	86676931	All I Wanna Do (K) (Feat. Hoody & Loco)	박재범	EVERYTHING YOU WANTED	2016-10-20	2016년	R&B/소울	가요	STONE MUSIC ENTERTAINMENT(유통대행)	AOMG
2021-05-12	2021년	212	1	90160784	나보다 더 사랑해요	김호중	나보다 더 사랑해요	2020-04-28	2020년	트로트	가요	주식회사 카카오엔터테인먼트	생각을보여주는엔터테인먼트
2021-05-12	2021년	213	1	89380047	조금 취했어 (Prod. by 2soo)	임재현	조금 취했어	2019-09-24	2019년	인디	가요	주식회사 카카오엔터테인먼트	엔에스씨컴퍼니, 디원미디어
2021-05-12	2021년	214	1	47637024	한여름날의 꿈 (Duet With 옥주현)	SG워너비	The Sentimental Chord	2007-04-06	2007년	R&B/소울	가요	(주)다날	다날엔터테인먼트
2021-05-12	2021년	215	1	87101034	Attention	Charlie Puth	Voicenotes	2018-05-11	2018년	팝	POP	워너뮤직코리아(주)(해외)	Artist Partners
2021-05-12	2021년	216	1	89769037	미친 소리	이예준	미친 소리	2020-01-12	2020년	발라드	가요	(주)드림어스컴퍼니(국내)	뮤니콘
2021-05-12	2021년	217	1	92789305	아이야	강승윤	PAGE	2021-03-29	2021년	R&B/소울	가요	(주)와이지플러스	YG엔터테인먼트
2021-05-12	2021년	218	1	91423134	Freak (Prod. by Slom)	릴보이 (lIlBOI) & 원슈타인 & Chillin Homie & 스카이민혁 (Skyminhyuk)	쇼미더머니 9 Episode 1	2020-11-21	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-05-12	2021년	219	1	90069478	화려하지 않은 고백	규현 (KYUHYUN)	슬기로운 의사생활 OST Part 4 (tvN 목요드라마)	2020-04-03	2020년	드라마	OST	STONE MUSIC ENTERTAINMENT(유통)	스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
2021-05-12	2021년	220	1	89858874	그때 그 아인	김필	이태원 클라쓰 OST Part.6 (JTBC 금토드라마)	2020-02-15	2020년	드라마	OST	주식회사 블렌딩(신)	㈜블렌딩
2021-05-12	2021년	221	1	91716688	CREDIT (Feat. 염따 & 기리보이 & Zion.T)	릴보이 (lIlBOI)	쇼미더머니 9 Final	2020-12-19	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-05-12	2021년	222	1	86925465	Believer	Imagine Dragons	Believer	2017-02-01	2017년	락	POP	(주)유니버설뮤직(해외)	KIDinaKORNER, Interscope Records
2021-05-12	2021년	223	1	88511064	옥탑방 (Rooftop)	엔플라잉 (N.Flying)	FLY HIGH PROJECT #2 '옥탑방'	2019-01-02	2019년	락	가요	주식회사 카카오엔터테인먼트	FNC엔터테인먼트
2021-05-12	2021년	224	1	90146199	서면역에서	순순희	서면역에서	2020-05-05	2020년	발라드	가요	(주)지니뮤직	비에스(BS) Ent.
2021-05-12	2021년	225	1	81302362	벚꽃 엔딩	버스커 버스커 (Busker Busker)	버스커 버스커 1집	2012-03-29	2012년	락	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-05-12	2021년	226	1	93125661	들려줄게	닐로 (Nilo)	들려줄게	2021-04-27	2021년	전체	가요	소니뮤직엔터테인먼트코리아(주)(국내)	NILO
2021-05-12	2021년	227	1	82438437	봄 사랑 벚꽃 말고	HIGH4 & 아이유	봄 사랑 벚꽃 말고	2014-04-08	2014년	발라드	가요	주식회사 카카오엔터테인먼트	엔에이피엔터테인먼트
2021-05-12	2021년	228	1	89353654	사랑이란 멜로는 없어	전상근	사랑이란 멜로는 없어	2019-09-08	2019년	발라드	가요	주식회사 카카오엔터테인먼트	㈜ 스튜디오 오드리
2021-05-12	2021년	229	1	89289702	Bonfire	Peder Elias	Bonfire	2019-08-09	2019년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Sony Music Entertainmant Norway AS
2021-05-12	2021년	230	1	93205975	신경꺼	ASH ISLAND	More ISLAND	2021-05-05	2021년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통대행)	앰비션뮤직
2021-05-12	2021년	231	1	89952547	WANNABE	ITZY (있지)	IT'z ME	2020-03-09	2020년	댄스	가요	(주)드림어스컴퍼니(국내)	(주)JYP엔터테인먼트
2021-05-12	2021년	232	1	92107245	걷고 싶다	임영웅	사랑의 콜센타 PART39	2021-01-26	2021년	트로트	가요	주식회사 카카오엔터테인먼트	TV CHOSUN, ㈜쇼플레이
2021-05-12	2021년	233	1	89612339	Watermelon Sugar	Harry Styles	Fine Line	2019-12-13	2019년	팝	POP	소니뮤직엔터테인먼트코리아(주)(해외)	Columbia
2021-05-12	2021년	234	1	90998269	DON'T TOUCH ME	환불원정대	DON'T TOUCH ME	2020-10-10	2020년	댄스	가요	주식회사 벅스(BUGS Corporation)	신박기획
2021-05-12	2021년	235	1	88732246	나만, 봄	볼빨간사춘기	사춘기집 I 꽃기운	2019-04-02	2019년	인디	가요	주식회사 벅스(BUGS Corporation)	쇼파르뮤직
2021-05-12	2021년	236	1	91931010	화(火花)	(여자)아이들	I burn	2021-01-11	2021년	댄스	가요	주식회사 카카오엔터테인먼트	큐브 엔터테인먼트
2021-05-12	2021년	237	1	88040624	뚜두뚜두 (DDU-DU DDU-DU)	BLACKPINK	SQUARE UP	2018-06-15	2018년	댄스	가요	(주)와이지플러스	(주)YG엔터테인먼트
2021-05-12	2021년	238	1	87538989	Snowman	Sia	Everyday Is Christmas (Snowman Deluxe Edition)	2022-12-30	2022년	팝	POP	워너뮤직코리아(주)(해외)	Monkey Puzzle, Atlantic
2021-05-12	2021년	239	1	88513430	Juice	Lizzo	Cuz I Love You (Deluxe)	2019-05-03	2019년	팝	POP	워너뮤직코리아(주)(해외)	Nice Life, Atlantic
2021-05-12	2021년	240	1	86997124	별 보러 가자	적재	FINE	2017-03-09	2017년	인디	가요	주식회사 벅스(BUGS Corporation)	스톰프뮤직
2021-05-12	2021년	241	1	82173840	금요일에 만나요 (Feat. 장이정 of HISTORY)	아이유 (IU)	Modern Times - Epilogue	2013-12-20	2013년	전체	가요	주식회사 카카오엔터테인먼트	카카오엔터테인먼트
2021-05-12	2021년	242	1	90788463	만개 (Prod. 신지후)	김호중	우리家	2020-09-05	2020년	트로트	가요	주식회사 카카오엔터테인먼트	생각을보여주는엔터테인먼트
2021-05-12	2021년	243	1	87413975	시차 (We Are) (Feat. 로꼬 & GRAY)	우원재	시차 (We Are)	2017-09-04	2017년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통대행)	AOMG
2021-05-12	2021년	244	1	89353433	Circles	Post Malone	Hollywood's Bleeding	2019-09-06	2019년	랩/힙합	POP	(주)유니버설뮤직(해외)	Republic Records a division of UMG Recordings Inc
2021-05-12	2021년	245	1	91563411	뿌리 (Feat. JUSTHIS) (Prod. by GroovyRoom)	Khundi Panda	쇼미더머니 9 Episode 3	2020-12-05	2020년	랩/힙합	가요	STONE MUSIC ENTERTAINMENT(유통)	Stone Music Entertainment
2021-05-12	2021년	246	1	88572997	사랑하지 말아요 (Prod. by 로코베리)	이석훈	사랑하지 말아요 (Prod. by 로코베리)	2019-01-24	2019년	발라드	가요	주식회사 카카오엔터테인먼트	하얀달엔터테인먼트
