년도	월	앨범명	앨범유형	플랫폼 앨범 종류	아티스트명	유형	음반 판매량	유통사
2023년	08월	FORM	피지컬앨범		영탁	남자솔로	623,671	Kakao Entertainment
2023년	12월	ANTIFRAGILE	피지컬앨범		LE SSERAFIM (르세라핌)	걸그룹	6,878	YG PLUS
2023년	12월	樂-STAR (Nemo)	플랫폼앨범	NEMO 앨범	Stray Kids (스트레이 키즈)	보이그룹	6,858	Dreamus
2023년	12월	2ND FULL ALBUM `REBOOT` (Nemo)	플랫폼앨범	NEMO 앨범	TREASURE (트레저)	보이그룹	6,842	YG PLUS
2023년	04월	Perfume - The 1st Mini Album	피지컬앨범		NCT 도재정	남자솔로	705,075	Dreamus
2023년	12월	IN生	피지컬앨범		Stray Kids (스트레이 키즈)	보이그룹	6,351	Dreamus
2023년	12월	HEAT	피지컬앨범		(여자)아이들	걸그룹	6,267	Kakao Entertainment
2023년	04월	D-DAY	피지컬앨범		Agust D	남자솔로	1,112,692	YG PLUS
2023년	12월	3RD ALBUM `An Ode`	피지컬앨범		세븐틴	보이그룹	5,725	YG PLUS
2023년	12월	EXIST - The 7th Album	피지컬앨범		EXO	보이그룹	5,563	Kakao Entertainment
2023년	12월	THE ALBUM	피지컬앨범		BLACKPINK	걸그룹	5,302	YG PLUS
2023년	12월	`OMG`	피지컬앨범		NewJeans	걸그룹	5,284	YG PLUS
2023년	12월	7th Mini Album `헹가래`	피지컬앨범		세븐틴	보이그룹	5,265	YG PLUS
